ID,Community,Day,Rep,S0,Nutrient 
M 310,C4,1,1,24,LN
M 311,C4,2,1,24,LN
M 312,C4,3,1,24,LN
M 313,C4,4,1,24,LN
M 314,C4,5,1,24,LN
M 315,C4,6,1,24,LN
M 316,C4,7,1,24,LN
M 317,C4,8,1,24,LN
M 318,C4,9,1,24,LN
M 319,C4,10,1,24,LN
M 320,C3,0,1,24,LN
M 321,C3,1,1,24,LN
M 322,C3,2,1,24,LN
M 323,C3,3,1,24,LN
M 324,C3,4,1,24,LN
M 325,C3,5,1,24,LN
M 326,C3,6,1,24,LN
M 327,C3,7,1,24,LN
M 328,C3,8,1,24,LN
M 329,C3,9,1,24,LN
M 330,C3,10,1,24,LN
M 331,C2,0,1,24,LN
M 332,C2,1,1,24,LN
M 333,C2,2,1,24,LN
M 334,C2,3,1,24,LN
M 335,C2,4,1,24,LN
M 336,C2,5,1,24,LN
M 337,C2,6,1,24,LN
M 338,C2,7,1,24,LN
M 339,C2,8,1,24,LN
M 340,C2,9,1,24,LN
M 341,C2,10,1,24,LN
M 342,C1,0,1,24,LN
M 343,C1,1,1,24,LN
M 344,C1,2,1,24,LN
M 345,C1,3,1,24,LN
M 346,C1,4,1,24,LN
M 347,C1,5,1,24,LN
M 348,C1,6,1,24,LN
M 349,C1,7,1,24,LN
M 350,C1,8,1,24,LN
M 351,C1,9,1,24,LN
M 352,C1,10,1,24,LN
M 353,C1,0,1,48,LN
M 354,C1,1,1,48,LN
M 355,C1,2,1,48,LN
M 356,C1,3,1,48,LN
M 357,C1,4,1,48,LN
M 358,C1,5,1,48,LN
M 359,C1,6,1,48,LN
M 360,C1,7,1,48,LN
M 361,C1,8,1,48,LN
M 362,C1,9,1,48,LN
M 363,C1,10,1,48,LN
M 364,C8,10,2,3,LN
M 365,C8,10,3,3,LN
M 366,C7,10,2,3,LN
M 367,C7,10,3,3,LN
M 368,C6,10,2,3,LN
M 369,C6,10,3,3,LN
M 370,C5,10,2,3,LN
M 371,C5,10,3,3,LN
M 372,C4,10,2,3,LN
M 373,C4,10,3,3,LN
M 374,C3,10,2,3,LN
M 375,C3,10,3,3,LN
M 376,C2,10,2,3,LN
M 377,C2,10,3,3,LN
M 378,C1,10,2,3,LN
M 379,C1,10,3,3,LN
M 380,C8,10,2,6,LN
M 381,C8,10,3,6,LN
M 382,C7,10,2,6,LN
M 383,C7,10,3,6,LN
M 384,C6,10,2,6,LN
M 385,C6,10,3,6,LN
M 386,C5,10,2,6,LN
M 387,C5,10,3,6,LN
M 388,C4,10,2,6,LN
M 389,C4,10,3,6,LN
M 390,C3,10,2,6,LN
M 391,C3,10,3,6,LN
M 392,C2,10,2,6,LN
M 393,C2,10,3,6,LN
M 394,C1,10,2,6,LN
M 395,C1,10,3,6,LN
M 396,C8,10,2,12,LN
M 397,C8,10,3,12,LN
M 398,C7,10,2,12,LN
M 399,C7,10,3,12,LN
M 400,C6,10,2,12,LN
M 401,C6,10,3,12,LN
M 402,C5,10,2,12,LN
M 403,C5,10,3,12,LN
M 404,C4,10,2,12,LN
M 405,C4,10,3,12,LN
M 406,C3,10,2,12,LN
M 407,C3,10,3,12,LN
M 408,C2,10,2,12,LN
M 409,C2,10,3,12,LN
M 410,C1,10,2,12,LN
M 411,C1,10,3,12,LN
M 412,C8,10,2,24,LN
M 413,C8,10,3,24,LN
M 414,C7,10,2,24,LN
M 415,C7,10,3,24,LN
M 416,C6,10,2,24,LN
M 417,C6,10,3,24,LN
M 418,C5,10,2,24,LN
M 419,C5,10,3,24,LN
M 420,C4,10,2,24,LN
M 421,C4,10,3,24,LN
M 422,C3,10,2,24,LN
M 423,C3,10,3,24,LN
M 424,C2,10,2,24,LN
M 425,C2,10,3,24,LN
M 426,C1,10,2,24,LN
M 427,C1,10,3,24,LN
M 428,C1,10,2,48,LN
M 429,C1,10,3,48,LN
M 430,C8,7,1,3,MN
M 431,C8,8,1,3,MN
M 432,C8,9,1,3,MN
M 433,C8,10,1,3,MN
M 434,C7,7,1,3,MN
M 435,C7,8,1,3,MN
M 436,C7,9,1,3,MN
M 437,C7,10,1,3,MN
M 438,C6,7,1,3,MN
M 439,C6,8,1,3,MN
M 440,C6,9,1,3,MN
M 441,C6,10,1,3,MN
M 442,C5,7,1,3,MN
M 443,C5,8,1,3,MN
M 444,C5,9,1,3,MN
M 445,C5,10,1,3,MN
M 446,C4,7,1,3,MN
M 447,C4,8,1,3,MN
M 448,C4,9,1,3,MN
M 449,C4,10,1,3,MN
M 450,C3,7,1,3,MN
M 451,C3,8,1,3,MN
M 452,C3,9,1,3,MN
M 453,C3,10,1,3,MN
M 454,C2,7,1,3,MN
M 455,C2,8,1,3,MN
M 456,C2,9,1,3,MN
M 457,C2,10,1,3,MN
M 458,C1,7,1,3,MN
M 459,C1,8,1,3,MN
M 460,C1,9,1,3,MN
M 461,C1,10,1,3,MN
M 462,C8,7,1,6,MN
M 463,C8,8,1,6,MN
M 464,C8,9,1,6,MN
M 465,C8,10,1,6,MN
M 466,C7,7,1,6,MN
M 467,C7,8,1,6,MN
M 468,C7,9,1,6,MN
M 469,C7,10,1,6,MN
M 470,C6,7,1,6,MN
M 471,C6,8,1,6,MN
M 472,C6,9,1,6,MN
M 473,C6,10,1,6,MN
M 474,C5,7,1,6,MN
M 475,C5,8,1,6,MN
M 476,C5,9,1,6,MN
M 477,C5,10,1,6,MN
M 478,C4,7,1,6,MN
M 479,C4,8,1,6,MN
M 480,C4,9,1,6,MN
M 481,C4,10,1,6,MN
M 482,C3,7,1,6,MN
M 483,C3,8,1,6,MN
M 484,C3,9,1,6,MN
M 485,C3,10,1,6,MN
M 486,C2,7,1,6,MN
M 487,C2,8,1,6,MN
M 488,C2,9,1,6,MN
M 489,C2,10,1,6,MN
M 490,C1,7,1,6,MN
M 491,C1,8,1,6,MN
M 492,C1,9,1,6,MN
M 493,C1,10,1,6,MN
M 494,C8,7,1,12,MN
M 495,C8,8,1,12,MN
M 496,C8,9,1,12,MN
M 497,C8,10,1,12,MN
M 498,C7,7,1,12,MN
M 499,C7,8,1,12,MN
M 500,C7,9,1,12,MN
M 501,C7,10,1,12,MN
M 502,C6,7,1,12,MN
M 503,C6,8,1,12,MN
M 504,C6,9,1,12,MN
M 505,C6,10,1,12,MN
M 506,C5,7,1,12,MN
M 507,C5,8,1,12,MN
M 508,C5,9,1,12,MN
M 509,C5,10,1,12,MN
M 510,C4,7,1,12,MN
M 511,C4,8,1,12,MN
M 512,C4,9,1,12,MN
M 513,C4,10,1,12,MN
M 514,C3,7,1,12,MN
M 515,C3,8,1,12,MN
M 516,C3,9,1,12,MN
M 517,C3,10,1,12,MN
M 518,C2,7,1,12,MN
M 519,C2,8,1,12,MN
M 520,C2,9,1,12,MN
M 521,C2,10,1,12,MN
M 522,C1,7,1,12,MN
M 523,C1,8,1,12,MN
M 524,C1,9,1,12,MN
M 525,C1,10,1,12,MN
M 526,C8,0,1,24,MN
M 527,C8,1,1,24,MN
M 528,C8,2,1,24,MN
M 529,C8,3,1,24,MN
M 530,C8,4,1,24,MN
M 531,C8,5,1,24,MN
M 532,C8,6,1,24,MN
M 533,C8,7,1,24,MN
M 534,C8,8,1,24,MN
M 535,C8,9,1,24,MN
M 536,C8,10,1,24,MN
M 537,C7,0,1,24,MN
M 538,C7,1,1,24,MN
M 539,C7,2,1,24,MN
M 540,C7,3,1,24,MN
M 541,C7,4,1,24,MN
M 542,C7,5,1,24,MN
M 543,C7,6,1,24,MN
M 544,C7,7,1,24,MN
M 545,C7,8,1,24,MN
M 546,C7,9,1,24,MN
M 547,C7,10,1,24,MN
M 548,C6,0,1,24,MN
M 549,C6,1,1,24,MN
M 550,C6,2,1,24,MN
M 551,C6,3,1,24,MN
M 552,C6,4,1,24,MN
M 553,C6,5,1,24,MN
M 554,C6,6,1,24,MN
M 555,C6,7,1,24,MN
M 556,C6,8,1,24,MN
M 557,C6,9,1,24,MN
M 558,C6,10,1,24,MN
M 559,C5,0,1,24,MN
M 560,C5,1,1,24,MN
M 561,C5,2,1,24,MN
M 562,C5,3,1,24,MN
M 563,C5,4,1,24,MN
M 564,C5,5,1,24,MN
M 565,C5,6,1,24,MN
M 566,C5,7,1,24,MN
M 567,C5,8,1,24,MN
M 568,C5,9,1,24,MN
M 569,C5,10,1,24,MN
M 570,C4,0,1,24,MN
M 571,C4,1,1,24,MN
M 572,C4,2,1,24,MN
M 573,C4,3,1,24,MN
M 574,C4,4,1,24,MN
M 575,C4,5,1,24,MN
M 576,C4,6,1,24,MN
M 577,C4,7,1,24,MN
M 578,C4,8,1,24,MN
M 579,C4,9,1,24,MN
M 580,C4,10,1,24,MN
M 581,C3,0,1,24,MN
M 582,C3,1,1,24,MN
M 583,C3,2,1,24,MN
M 584,C3,3,1,24,MN
M 585,C3,4,1,24,MN
M 586,C3,5,1,24,MN
M 587,C3,6,1,24,MN
M 588,C3,7,1,24,MN
M 589,C3,8,1,24,MN
M 590,C3,9,1,24,MN
M 591,C3,10,1,24,MN
M 592,C2,0,1,24,MN
M 593,C2,1,1,24,MN
M 594,C2,2,1,24,MN
M 595,C2,3,1,24,MN
M 596,C2,4,1,24,MN
M 597,C2,5,1,24,MN
M 598,C2,6,1,24,MN
M 599,C2,7,1,24,MN
M 600,C2,8,1,24,MN
M 601,C2,9,1,24,MN
M 602,C2,10,1,24,MN
M 603,C1,0,1,24,MN
M 604,C1,1,1,24,MN
M 605,C1,2,1,24,MN
M 606,C1,3,1,24,MN
M 607,C1,4,1,24,MN
M 608,C1,5,1,24,MN
M 609,C1,6,1,24,MN
M 610,C1,7,1,24,MN
M 611,C1,8,1,24,MN
M 612,C1,9,1,24,MN
M 613,C1,10,1,24,MN
M 614,C1,0,1,48,MN
M 615,C1,1,1,48,MN
M 616,C1,2,1,48,MN
M 617,C1,3,1,48,MN
M 618,C1,4,1,48,MN
M 619,C1,5,1,48,MN
M 620,C1,6,1,48,MN
M 621,C1,7,1,48,MN
M 622,C1,8,1,48,MN
M 623,C1,9,1,48,MN
M 624,C1,10,1,48,MN
M 625,C8,10,2,3,MN
M 626,C8,10,3,3,MN
M 627,C7,10,2,3,MN
M 628,C7,10,3,3,MN
M 629,C6,10,2,3,MN
M 630,C6,10,3,3,MN
M 631,C5,10,2,3,MN
M 632,C5,10,3,3,MN
M 633,C4,10,2,3,MN
M 634,C4,10,3,3,MN
M 635,C3,10,2,3,MN
M 636,C3,10,3,3,MN
M 637,C2,10,2,3,MN
M 638,C2,10,3,3,MN
M 639,C1,10,2,3,MN
M 640,C1,10,3,3,MN
M 641,C8,10,2,6,MN
M 642,C8,10,3,6,MN
M 643,C7,10,2,6,MN
M 644,C7,10,3,6,MN
M 645,C6,10,2,6,MN
M 646,C6,10,3,6,MN
M 647,C5,10,2,6,MN
M 648,C5,10,3,6,MN
M 649,C4,10,2,6,MN
M 650,C4,10,3,6,MN
M 651,C3,10,2,6,MN
M 652,C3,10,3,6,MN
M 653,C2,10,2,6,MN
M 654,C2,10,3,6,MN
M 655,C1,10,2,6,MN
M 656,C1,10,3,6,MN
M 657,C8,10,2,12,MN
M 658,C8,10,3,12,MN
M 659,C7,10,2,12,MN
M 660,C7,10,3,12,MN
M 661,C6,10,2,12,MN
M 662,C6,10,3,12,MN
M 663,C5,10,2,12,MN
